Type,Row ID,0,1,2,3,4,5,6,7,8,9
wh,0,-0.35057881593260326,0.1303829690514,1.3327203407608523,-1.2159565152851528,-0.07064042241136631,2.295471671635511,-0.3042935037822935,-0.3885967180804765,,
wh,1,-0.7669869078814446,-1.0322823473050902,-1.8590410829332036,1.8130782400996945,-1.8060931877226,-0.3656773545908845,-0.017639428499748217,-1.3648126215524197,,
wh,2,-3.1532243069315102,-0.9224019577470703,0.015332708907596,-0.9499376110563162,-0.2009867556284541,1.2299798253936567,-1.6396881343440883,1.010797330729182,,
wh,3,1.4470769332517563,0.7871860814940467,-1.5411854214410752,0.16828493105598086,0.030962016032810062,1.5338496975416183,0.4305368226027501,2.458481017554456,,
wh,4,0.8021588354117547,-0.4059647383700956,-0.05772994687886178,0.6833453614614459,-0.6775401526135074,0.3641014468884151,0.7118547345643784,13.11882803893484,,
wh,5,0.02606078809041154,-0.5531663943326517,0.1982536703374608,3.901648993596659,-0.7267913319891883,-1.5239377666357032,-0.07885951717209094,0.9629597146480275,,
wh,6,-2.1588494567354033,-1.0487588621562438,-0.21791621530603456,-1.4272584969724555,-3.236603078396151,1.5525807385121089,-0.634853703029879,-0.8340179230418022,,
wh,7,1.7440770300582762,0.7628464737547517,-0.490759525330528,-1.8016103513655763,0.6561227270802039,-1.6822171260224705,1.3052132808793664,-0.10478136092413873,,
wh,8,-1.7400352502474465,-2.7214033010718337,-0.5744033406314447,-0.4463638020379354,1.9448288162659044,-1.263493508858583,1.4779804238988545,0.21495767596127713,,
wh,9,0.2576768847952274,1.041914796916351,-0.2448097107129119,-0.17012177832248823,0.1425322080549252,0.8755142371680367,-0.9941716048498679,1.7551268656116732,,
wo,0,-1.6228583680672428,-2.626004653453503,-2.739119547594699,-0.27449080248755586,7.344346578453094,-3.2839796627064084,-2.202415181797083,-0.2731478549013101,-3.4343280336085282,-0.7854313386794858
